ID	Block	Row	Column	Name
1	1	1	1	A/Hong Kong/4801/2014(H3N2)-2018-03-20
2	1	1	2	A/Hong Kong/4801/2014(H3N2)-2018-03-20
3	1	1	3	A/Hong Kong/4801/2014(H3N2)-2018-03-20
4	1	1	4	A/Hong Kong/4801/2014(H3N2)-2018-03-20
5	1	1	5	A/Hong Kong/4801/2014(H3N2)-2018-03-20
6	1	1	6	A/Hong Kong/4801/2014(H3N2)-2018-03-20
7	1	1	7	A/Hong Kong/4801/2014(H3N2)-2018-03-20
8	1	1	8	A/Hong Kong/4801/2014(H3N2)-2018-03-20
9	1	1	9	A/Hong Kong/4801/2014(H3N2)-2018-03-20
10	1	1	10	A/Hong Kong/4801/2014(H3N2)-2018-03-20
11	1	1	11	A/Hong Kong/4801/2014(H3N2)-2018-03-20
12	1	1	12	A/Hong Kong/4801/2014(H3N2)-2018-03-20
13	1	1	13	A/Hong Kong/4801/2014(H3N2)-2018-03-20
14	1	1	14	A/Hong Kong/4801/2014(H3N2)-2018-03-20
15	1	1	15	A/Hong Kong/4801/2014(H3N2)-2018-03-20
16	1	2	1	A/Hong Kong/4801/2014(H3N2)-2018-03-20
17	1	2	2	A/Hong Kong/4801/2014(H3N2)-2018-03-20
18	1	2	3	A/Hong Kong/4801/2014(H3N2)-2018-03-20
19	1	2	4	A/Hong Kong/4801/2014(H3N2)-2018-03-20
20	1	2	5	A/Hong Kong/4801/2014(H3N2)-2018-03-20
21	1	2	6	A/Hong Kong/4801/2014(H3N2)-2018-03-20
22	1	2	7	A/Hong Kong/4801/2014(H3N2)-2018-03-20
23	1	2	8	A/Hong Kong/4801/2014(H3N2)-2018-03-20
24	1	2	9	A/Hong Kong/4801/2014(H3N2)-2018-03-20
25	1	2	10	A/Hong Kong/4801/2014(H3N2)-2018-03-20
26	1	2	11	A/Hong Kong/4801/2014(H3N2)-2018-03-20
27	1	2	12	A/Hong Kong/4801/2014(H3N2)-2018-03-20
28	1	2	13	A/Hong Kong/4801/2014(H3N2)-2018-03-20
29	1	2	14	A/Hong Kong/4801/2014(H3N2)-2018-03-20
30	1	2	15	A/Hong Kong/4801/2014(H3N2)-2018-03-20
31	1	3	1	A/Hong Kong/4801/2014(H3N2)-2018-03-20
32	1	3	2	A/Hong Kong/4801/2014(H3N2)-2018-03-20
33	1	3	3	A/Hong Kong/4801/2014(H3N2)-2018-03-20
34	1	3	4	A/Hong Kong/4801/2014(H3N2)-2018-03-20
35	1	3	5	A/Hong Kong/4801/2014(H3N2)-2018-03-20
36	1	3	6	A/Hong Kong/4801/2014(H3N2)-2018-03-20
37	1	3	7	A/Hong Kong/4801/2014(H3N2)-2018-03-20
38	1	3	8	A/Hong Kong/4801/2014(H3N2)-2018-03-20
39	1	3	9	A/Hong Kong/4801/2014(H3N2)-2018-03-20
40	1	3	10	A/Hong Kong/4801/2014(H3N2)-2018-03-20
41	1	3	11	A/Hong Kong/4801/2014(H3N2)-2018-03-20
