sid	labeling	concentration	concentration_unit	buffer	ph	purity	produced_by	production_date	comment	stock	ligand
L001		0.1		Natriumhydrogencarbonat	8.5			2017-05-09		False	P012
L002		1.0		Natriumhydrogencarbonat	8.5					False	P001
L003		1.0		Natriumhydrogencarbonat	8.5					True	P008
L004		1.0		Natriumhydrogencarbonat	8.5					True	P009
L005		1.0		Natriumhydrogencarbonat	8.5					True	P010
L006		1.0		Natriumhydrogencarbonat	8.5					True	P011
L007		0.07		Natriumhydrogencarbonat	8.5					False	P013
P1										True	P1
P3										True	P3
P4										True	P4
P5										True	P5
P6										True	P6
P7										True	P7
P8										True	P8
P10										True	P10
P13										True	P13
DYE025		0.25								False	Dye001
DYE050		0.5								False	Dye001
DYE100		1.0								True	Dye001
NEN025		0.25								False	P013
NEN050		0.5								False	P013
NEN100		1.0								True	P013
FEU025		0.25								False	P012
FEU050		0.5								False	P012
FEU100		1.0								True	P012
KLOS025		0.25								False	P030
KLOS050		0.5								False	P030
KLOS100		1.0								True	P030
KLOA025		0.25								False	P031
KLOA050		0.5								False	P031
KLOA100		1.0								True	P031
P6025		0.25								False	P001
P6050		0.5								False	P001
P6100		1.0								True	P001
P7025		0.25								False	P008
P7050		0.5								False	P008
P7100		1.0								True	P008
P8025		0.25								False	P009
P8050		0.5								False	P009
P8100		1.0								True	P008
P9025		0.25								False	P010
P9050		0.5								False	P010
P9100		1.0								True	P010
P10025		0.25								False	P014
P10050		0.5								False	P014
P10100		1.0								True	P014
P11025		0.25								False	P011
P11050		0.5								False	P011
P11100		1.0								True	P011
P12025		0.25								False	P015
P12050		0.5								False	P015
P12100		1.0								True	P015
P13025		0.25								False	P016
P13050		0.5								False	P016
P13100		1.0								True	P016
P14025		0.25								False	P017
P14050		0.5								False	P017
P14100		1.0								True	P017
P16025		0.25								False	P019
P16050		0.5								False	P019
P16100		1.0								True	P019
P032-1:50		50.0		Natriumhydrogencarbonat	8.5					False	P032
P012-2		2.0		Natriumhydrogencarbonat	8.5					False	P012
P012-1		1.0		Natriumhydrogencarbonat	8.5					True	P012
P012-05		0.5		Natriumhydrogencarbonat	8.5					False	P012
P012-025		0.25		Natriumhydrogencarbonat	8.5					False	P012
P012-0125		0.125		Natriumhydrogencarbonat	8.5					False	P012
P012-00625		0.0625		Natriumhydrogencarbonat	8.5					False	P012
P012-00313		0.0313		Natriumhydrogencarbonat	8.5					False	P012
P012-00156		0.0156		Natriumhydrogencarbonat	8.5					False	P012
P019-2		2.0		Natriumhydrogencarbonat	8.5					False	P019
P019-1		1.0		Natriumhydrogencarbonat	8.5					True	P019
P019-05		0.5		Natriumhydrogencarbonat	8.5					False	P019
P019-025		0.25		Natriumhydrogencarbonat	8.5					False	P019
P019-0125		0.125		Natriumhydrogencarbonat	8.5					False	P019
P019-00625		0.0625		Natriumhydrogencarbonat	8.5					False	P019
P019-00313		0.0313		Natriumhydrogencarbonat	8.5					False	P019
P019-00156		0.0156		Natriumhydrogencarbonat	8.5					False	P019
P011-2		2.0		Natriumhydrogencarbonat	8.5					False	P011
P011-1		1.0		Natriumhydrogencarbonat	8.5					True	P011
P011-05		0.5		Natriumhydrogencarbonat	8.5					False	P011
P011-025		0.25		Natriumhydrogencarbonat	8.5					False	P011
P011-0125		0.125		Natriumhydrogencarbonat	8.5					False	P011
P011-00625		0.0625		Natriumhydrogencarbonat	8.5					False	P011
P011-00313		0.0313		Natriumhydrogencarbonat	8.5					False	P011
P011-00156		0.0156		Natriumhydrogencarbonat	8.5					False	P011
P001-2		2.0		Natriumhydrogencarbonat	8.5					False	P001
P001-1		1.0		Natriumhydrogencarbonat	8.5					True	P001
P001-05		0.5		Natriumhydrogencarbonat	8.5					False	P001
P001-025		0.25		Natriumhydrogencarbonat	8.5					False	P001
